,Unnamed: 0,model,line,lead_time,period,release_date,release_t,lead_t,to_be_deliver,release_time
0,34,'PN_5448_2','line16',18,17.14885496,1,1,18,2019-01-23,2019-01-03
1,19,'PN_5192_2','line16',27,4.840525328,22,22,27,2019-02-15,2019-01-28
2,4,'PN_4842_2','line16',50,17.02085308,33,33,50,2019-03-14,2019-02-22
3,12,'PN_5139_1','line16',56,3.89291598,52,52,56,2019-03-21,2019-03-16
4,3,'PN_4842_1','line16',65,3.8397660819999997,61,61,65,2019-04-01,2019-03-27
5,11,'PN_5121_1','line16',67,1.386745347,66,66,67,2019-04-03,2019-04-02
6,24,'PN_5218_1','line16',103,0.0,103,103,103,2019-05-18,2019-05-18
7,5,'PN_4981_1','line16',131,5.402426694,126,126,131,2019-06-21,2019-06-15
8,2,'PN_4764_2','line16',175,11.25046555,164,164,175,2019-08-12,2019-07-30
9,6,'PN_4981_2','line16',193,13.0364004,180,180,193,2019-09-02,2019-08-17
10,29,'PN_5258_2','line16',204,10.71097372,193,193,204,2019-09-16,2019-09-02
11,1,'PN_4756_2_1','line17',18,17.74652778,0,0,18,2019-01-23,2019-01-02
12,20,'PN_5202_1','line17',27,8.961864407,18,18,27,2019-02-15,2019-01-23
13,30,'PN_5318_1','line17',44,16.13548387,28,28,44,2019-03-07,2019-02-16
14,7,'PN_4996_2','line17',51,6.400926999,45,45,51,2019-03-15,2019-03-08
15,21,'PN_5202_2','line17',67,9.788617886,57,57,67,2019-04-03,2019-03-22
16,18,'PN_5184_1','line17',80,12.73684211,67,67,80,2019-04-19,2019-04-03
17,13,'PN_5156_1','line17',80,0.0,80,80,80,2019-04-19,2019-04-19
18,26,'PN_5253_1','line17',94,10.29482759,84,84,94,2019-05-08,2019-04-24
19,35,'PN_5450_1','line17',101,6.087431694,95,95,101,2019-05-16,2019-05-09
20,0,'PN_4756_1','line17',122,20.85034014,101,101,122,2019-06-11,2019-05-16
21,28,'PN_5255_1','line17',134,11.16032609,123,123,134,2019-06-25,2019-06-12
22,31,'PN_5318_2','line17',151,12.59689922,138,138,151,2019-07-15,2019-06-29
23,15,'PN_5156_2','line17',186,0.0,186,186,186,2019-08-24,2019-08-24
24,8,'PN_5028_2','line17',204,13.88746803,190,190,204,2019-09-16,2019-08-29
25,27,'PN_5253_2','line17',222,10.29482759,212,212,222,2019-10-06,2019-09-25
26,22,'PN_5214_1','line4',10,9.102013422999999,1,1,10,2019-01-14,2019-01-03
27,17,'PN_5170_1','line4',36,22.97959184,13,13,36,2019-02-26,2019-01-17
28,14,'PN_5156_1','line4',61,24.10185185,37,37,61,2019-03-27,2019-02-27
29,36,'PN_5582_1','line4',71,1.187381533,70,70,71,2019-04-09,2019-04-08
30,25,'PN_5218_1','line4',94,22.33189655,72,72,94,2019-05-08,2019-04-10
31,9,'PN_5081_1','line4',108,13.23907104,95,95,108,2019-05-24,2019-05-09
32,33,'PN_5446_2','line4',139,29.24378109,110,110,139,2019-07-01,2019-05-27
33,32,'PN_5368_2','line4',166,11.46666667,155,155,166,2019-08-01,2019-07-19
34,16,'PN_5156_2','line4',174,7.814814815,166,166,174,2019-08-10,2019-08-01
35,23,'PN_5214_2','line4',192,12.8168643,179,179,192,2019-08-31,2019-08-16
36,10,'PN_5082_2','line4',215,16.38985737,199,199,215,2019-09-28,2019-09-09
