,model,line,lead_time,period,release_date
0,'PN_4756_1','line17',33,20.85034014,12
1,'PN_4756_2_1','line17',67,17.74652778,49
2,'PN_4842_1','line16',4,3.839766082,0
3,'PN_4981_1','line16',12,5.402426694,7
4,'PN_5081_1','line4',91,13.23907104,79
5,'PN_5121_1','line16',7,1.386745347,6
6,'PN_5156_1','line17',107,1.66875,105
7,'PN_5156_1','line4',79,23.58101852,55
9,'PN_5184_1','line17',80,12.73684211,67
10,'PN_5202_1','line17',95,8.961864407,86
11,'PN_5214_1','line4',54,9.102013423,45
12,'PN_5218_1','line16',6,1.859848485,4
13,'PN_5218_1','line4',22,21.88318777,0
14,'PN_5253_1','line17',105,10.29482759,95
15,'PN_5255_1','line17',11,11.16032609,0
16,'PN_5318_1','line17',49,16.13548387,33
17,'PN_5450_1','line17',86,6.087431694,80
18,'PN_5582_1','line4',55,1.187381533,54
19,'PN_5170_1','line4',45,22.97959184,22
